id	targetkeyword	targetrank	targetrankred	targetkeyworddetail	targetrankdetail	perpetkeyword	perpetrank	perpetrankred	perpetkeyworddetail	perpetrankdetail	gendersclean	itypeclean	itypewide	institutionlocation	institutionclean	cleandiscipline	reported	reportedwide	someconsequence	institutionperpetrator	institutiontarget	city	state	country	zipcode_us	zipcode	zipcode_other
2229	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	Other University	Research University	Melbourne, Victoria	University of Melbourne	Information Science	Unknown	Unknown	Unknown			Melbourne	Victoria	Australia		3052	3052
2230	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Big Ten	Research University	Champaign, Illinois	University of Illinois - Urbana-Champaign	Music	Yes	Yes	None			Champaign	Illinois	US	61801	61801	
2231	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Post-Doctoral	13.5	Male	University of California	Research University	Los Angeles, California	University of California - Los Angeles	Biology	Yes	Yes	None			Los Angeles	California	US	90095	90095	
2232	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Male	Other University	Research University			Science	Yes	Yes	None								
2233	Faculty	7	16	Faculty	16	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Fairfax, Virginia	George Mason University	[Refuse to Answer]	No	Private	None			Fairfax	Virginia	US	22030	22030	
2234	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Regional Teaching College	Other College				Unknown	Unknown	Unknown								
2235	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Biology	Unknown	Unknown	Unknown								
2236	Staff	6	14.5	Professional	17	Administration	10	26.5	Administration	26.5	Male	R2	Research University	San Antonio, Texas	University of Texas - San Antonio	Residence Life	Yes	Yes	None			San Antonio	Texas	US	78249	78249	
2237	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Seattle, Washington	University of Washington		Yes	Yes	None			Seattle	Washington	US	98105	98105	
2238	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Philosophy	Unknown	Unknown	None								
2239	Staff	6	14.5	Staff	14.5	Other	1	0.5	Donor	27	Male	R1	Research University	State College, Pennsylvania	Pennsylvania State University		Yes	Yes	None			State College	Pennsylvania	US	16801	16801	
2240	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University				Yes	Yes	Yes								
2241	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University				No	No	None								
2242	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Unknown	Research University				Yes	Yes	Yes								
2243	Graduate Student	4	6	Master Student	6.5	Graduate Student	4	6	Graduate Student	6	Male	Regional Teaching College	Other College			Writing	Yes	Yes	None								
2244	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Ames, Iowa	Iowa State University	Science	Yes	Yes	None			Ames	Iowa	US	50012	50012	
2245	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Big Ten	Research University	Madison, Wisconsin	University of Wisconsin - Madison	Sociology	Unknown	Unknown	Unknown			Madison	Wisconsin	US	53706	53706	
2246	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Philosophy	Yes	Yes	None								
2247	Staff	6	14.5	Staff	14.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Washington, DC	George Washington University	N/A	Unknown	Unknown	None			Washington	DC	US	20052	20052	
2248	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University			English	Yes	Yes	None								
2249	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University			Art History	No	No	None								
2250	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Female	R2	Research University			Education	No	No	None								
2251	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Female	R2	Research University			Education	No	No	None								
2252	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University	Austin, Texas	University of Texas - Austin	Clinical Psychology 	No	No	None			Austin	Texas	US	78712	78712	
2253	Graduate Student	4	6	TA / RA	7	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University	Portland, Oregon	Portland State University	Public Health	Yes	Yes	None			Portland	Oregon	US	97201	97201	
2254	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	College Park, Maryland	University of Maryland - College Park	Library	No	No	None			College Park	Maryland	US	20742	20742	
2255	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	New York, New York	City University of New York	History	Yes	Yes	None			New York	New York	US	11225	11225	
2256	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R2	Research University			English	Yes	Yes	None								
2257	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Ivy League	Research University	Providence, Rhode Island	Brown University	Archaeology	Yes	Yes	None			Providence	Rhode Island	US	02912	02912	
2258	Undergraduate Student	3	2	Undergraduate Student	2	Staff	6	14.5	Staff	14.5	Male	R1	Research University	New York, New York		Creative Writing 	Unknown	Unknown	None			New York	New York	US	74070	74070	
2259	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work			Science	Unknown	Private	None								
2260	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	U15	Research University	Montréal, Québec	McGill University	Engineering	No	No	None			Montréal	Québec	Canada		H3A	H3A
2261	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Administration	26.5	Male	U15	Research University	Calgary, Alberta	University of Calgary	Psychology	Unknown	Unknown	Unknown			Calgary	Alberta	Canada		T2N	T2N
2262	Undergraduate Student	3	2	Undergraduate Student	2	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	University of California	Research University	(California)	University of California	Physics	No	No	None				California	US			
2263	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Community College	Other College			English	Unknown	Private	None								
2264	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Big Ten	Research University	Ann Arbor, Michigan	University of Michigan	Law	Yes	Yes	None			Ann Arbor	Michigan	US	48109	48109	
2265	Staff	6	14.5	Intern / Applicant	9	Faculty	7	16	Post-Doctoral	13.5	Male	Research Institute	Other	Bethesda, Maryland	National Institutes of Health	Biology	No	No	None			Bethesda	Maryland	US	20892	20892	
2266	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Psychology	No	No	None								
2267	Tenured Professor	9	24	Full Professor	25.5	Tenured Professor	9	24	Full Professor	25.5	Male	Small Liberal Arts College	Other College			Psychology	Yes	Yes	None								
2268	Other	1	0.5	Other	0.5	Faculty	7	16	Faculty	16	Male	Other University	Research University	Sewanee, Tennessee	University of the South	Creative Writing 	Unknown	Unknown	None			Sewanee	Tennessee	US	37375	37375	
2269	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Baton Rouge, Louisiana	Louisiana State University	Anthropology	Yes	Yes	None			Baton Rouge	Louisiana	US	70802	70802	
2270	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	New York, New York	City University of New York	Sociology	Yes	Yes	None			New York	New York	US	11225	11225	
2271	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University				Unknown	Unknown	None								
2272	Staff	6	14.5	Staff	14.5	Administration	10	26.5	Administration	26.5	Male	U15	Research University	Edmonton, Alberta	University of Alberta	English, Film Studies	Unknown	Unknown	None			Edmonton	Alberta	Canada		T6G	T6G
2273	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Other	1	0.5	Other	0.5	Male	Field Work	Conference & Field Work			Anthropology	Yes	Yes	None								
2274	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	University of California	Research University	Los Angeles, California	University of California - Los Angeles	Geography	Unknown	Unknown	None			Los Angeles	California	US	90095	90095	
2275	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Sociocultural Anthropology	No	No	None								
2276	Faculty	7	16	Faculty	16	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College				Yes	Yes	None								
2277	Faculty	7	16	Lecturer	16.5	Student	2	1.5	Student	1.5	Male	University of California	Research University	Santa Barbara, California	University of California - Santa Barbara	Geography	Unknown	Unknown	None			Santa Barbara	California	US	93117	93117	
2278	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Multiple	R1	Research University			Anthropology	No	No	None								
2279	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	Lewisburg, Pennsylvania	Bucknell University		No	No	None			Lewisburg	Pennsylvania	US	17837	17837	
2280	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Small Liberal Arts College	Other College	Berea, Ohio	Baldwin Wallace University	Accounting	Yes	Yes	None			Berea	Ohio	US	44017	44017	
2281	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University			Asian Studies	Unknown	Unknown	None								
2282	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Conference	Conference & Field Work		American Sociological Association	Sociology	No	No	None								
2283	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Female	Conference	Conference & Field Work	Ithaca, New York	Cornell University	History	Unknown	Unknown	Unknown			Ithaca	New York	US	14850	14850	
2284	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	New York, New York	City University of New York - Graduate Center	American studies	Unknown	Unknown	Unknown			New York	New York	US	10016	10016	
2285	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	New York, New York	City University of New York	History	No	No	None			New York	New York	US	11225	11225	
2286	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Faculty	16	Male	R2	Research University	Las Vegas, Nevada	University of Nevada - Las Vegas		Unknown	Private	None			Las Vegas	Nevada	US	89119	89119	
2287	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	Minneapolis, Minnesota	University of Minnesota - Twin Cities	Science	No	No	None			Minneapolis	Minnesota	US	55455	55455	
2288	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R2	Research University	Greensboro, North Carolina	University of North Carolina - Greensboro	Creative Writing 	Yes	Yes	Unknown			Greensboro	North Carolina	US	27412	27412	
2289	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Lecturer	16.5	Male	University of California	Research University	Berkeley, California	University of California - Berkeley	Ethnic Studies	Unknown	Unknown	Unknown			Berkeley	California	US	94709	94709	
2290	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Female	U15	Research University	Montréal, Québec	McGill University	Communication 	Yes	Private	None			Montréal	Québec	Canada		H3A	H3A
2291	Undergraduate Student	3	2	Undergraduate - Year 3	4.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Big Ten	Research University	Madison, Wisconsin	University of Wisconsin - Madison	Economics	No	No	None			Madison	Wisconsin	US	53706	53706	
2292	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Ivy League	Research University	Cambridge, Massachusetts	Harvard University	Comparative Literature	Unknown	Unknown	None			Cambridge	Massachusetts	US	02138	02138	
2293	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Cambridge, Massachusetts	Massachusetts Institute of Technology	Science	Yes	Yes	None			Cambridge	Massachusetts	US	02142	02142	
2294	Faculty	7	16	Researcher	14	Graduate Student	4	6	Graduate Student	6	Male	Big Ten	Research University	Madison, Wisconsin	University of Wisconsin - Madison	Psychology	Unknown	Unknown	None			Madison	Wisconsin	US	53706	53706	
2295	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work	Iowa City, Iowa	University of Iowa	Geography	Unknown	Private	None			Iowa City	Iowa	US	52246	52246	
2296	Staff	6	14.5	Professional	17	Staff	6	14.5	Professional	17	Male	Other University	Research University			Medicine	Yes	Yes	None								
2297	Tenured Professor	9	24	Tenured Professor	24	Administration	10	26.5	Administration	26.5	Male	R3	Research University	Glassboro, New Jersey	Rowan University	Library	Yes	Yes	Unknown			Glassboro	New Jersey	US	08028	08028	
2298	Faculty	7	16	Lecturer	16.5	Undergraduate Student	3	2	Undergraduate Student	2	Female	Regional Teaching College	Other College	Austin, Minnesota	Riverland Community College	English	Yes	Yes	None			Austin	Minnesota	US	55912	55912	
2299	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Administration	26.5	Male	Ivy League	Research University	Providence, Rhode Island	Brown University	English	No	No	None			Providence	Rhode Island	US	02912	02912	
2300	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Library and Archive	Other			History	Unknown	Unknown	None								
2301	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			History	No	No	None								
2302	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work			English	No	No	None								
2303	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Faculty	16	Multiple	Other University	Research University			Medieval Studies	No	No	None								
2304	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Houston, Texas	University of Houston	Marketing	Yes	Yes	None			Houston	Texas	US	77204	77204	
2305	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College			History	No	Private	None								
2306	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University				No	No	None								
2307	Undergraduate Student	3	2	Undergraduate Student	2	Staff	6	14.5	Staff	14.5	Male	Other University	Research University			Social Sciences	No	No	None								
